Date,Symbol,Series,Close,Prev_Close,Traded_Qty,Delivery_Qty,Delivery_Percent
2026-08-26,ICICIBANK,EQ,1430.0,1422.7,4177066,2252563,53.93
2026-08-26,ICICIGI,EQ,1596.9,1616.0,5634591,3722150,66.06
2026-08-26,ICICIPRULI,EQ,515.05,510.0,1266598,662596,52.31
2026-08-26,IDEA,EQ,15.06,15.19,478735885,154119736,32.19
2026-08-26,IDFCFIRSTB,EQ,84.4,85.0,12673198,6698420,52.86
2026-08-26,IEX,EQ,122.0,124.2,3923536,1970552,50.22
2026-08-26,IGL,EQ,148.72,148.68,683725,372313,54.45
2026-08-26,INDHOTEL,EQ,721.0,730.0,730279,391722,53.64
2026-08-26,INDIACEM,EQ,371.85,364.3,78876,30944,39.23
2026-08-26,INDIAMART,EQ,1751.9,1750.3,34787,18362,52.78
2026-08-26,INDIGO,EQ,5250.5,5218.0,584644,330614,56.55
2026-08-26,INDUSINDBK,EQ,1004.0,1015.0,1098699,438424,39.9
2026-08-26,INDUSTOWER,EQ,377.7,387.25,4874991,3396839,69.68
2026-08-26,INFY,EQ,1120.0,1144.0,6323984,3570273,56.46
2026-08-26,INTELLECT,EQ,684.0,682.8,189048,89480,47.33
2026-08-26,IOC,EQ,139.48,139.0,6514034,2795589,42.92
2026-08-26,IPCALAB,EQ,1952.4,1928.5,455426,199017,43.7
2026-08-26,IRCTC,EQ,491.75,482.55,917802,427013,46.53
2026-08-26,ITC,EQ,270.25,271.4,11693367,7010608,59.95
2026-08-26,JINDALSTEL,EQ,1175.4,1154.1,896442,323542,36.09
2026-08-26,JKCEMENT,EQ,5277.0,5197.5,15808,5723,36.2
2026-08-26,JSWSTEEL,EQ,1341.0,1320.3,1894784,1070495,56.5
2026-08-26,JUBLFOOD,EQ,499.5,515.0,2351201,736615,31.33
2026-08-26,KOTAKBANK,EQ,416.7,401.6,20168995,12586149,62.4
2026-08-26,LALPATHLAB,EQ,1937.3,1913.7,134265,70012,52.14
2026-08-26,LAURUSLABS,EQ,1887.0,1866.2,3334188,2054289,61.61
2026-08-26,LICHSGFIN,EQ,524.4,506.0,6509187,3227139,49.58
2026-08-26,LT,EQ,4038.1,4119.0,1384669,690215,49.85
2026-08-26,LTTS,EQ,3543.2,3568.2,34964,16871,48.25
2026-08-26,LUPIN,EQ,2185.0,2175.5,1230081,742821,60.39
2026-08-26,M&M,EQ,3398.2,3443.0,687761,313585,45.6
2026-08-26,M&MFIN,EQ,385.35,381.45,2023499,1210318,59.81
2026-08-26,MANAPPURAM,EQ,365.4,367.45,4041776,1653002,40.9
2026-08-26,MARICO,EQ,833.0,847.5,1411009,932787,66.11
2026-08-26,MARUTI,EQ,13520.0,13678.0,197113,118064,59.9
2026-08-26,MCX,EQ,3350.0,3280.0,2328150,990975,42.56
2026-08-26,METROPOLIS,EQ,570.3,566.7,176364,111456,63.2
2026-08-26,MFSL,EQ,1600.0,1592.5,189097,104076,55.04
2026-08-26,MGL,EQ,1115.3,1101.4,93375,41764,44.73
2026-08-26,MOTHERSON,EQ,165.0,166.45,10016435,6133022,61.23
2026-08-26,MPHASIS,EQ,2400.0,2431.9,378910,212622,56.11
2026-08-26,MRF,EQ,133520.0,132295.0,1801,909,50.47
2026-08-26,MUTHOOTFIN,EQ,3206.9,3201.0,486712,247896,50.93
2026-08-26,NATIONALUM,EQ,399.3,397.8,3087665,1210416,39.2
2026-08-26,NAUKRI,EQ,1323.5,1350.0,805875,530570,65.84
2026-08-26,NAVINFLUOR,EQ,8553.0,8209.0,184735,91446,49.5
2026-08-26,NESTLEIND,EQ,1451.5,1479.0,625901,369708,59.07
2026-08-26,NMDC,EQ,88.21,85.94,26181347,13065515,49.9
2026-08-26,NTPC,EQ,334.6,339.85,5903358,2472776,41.89
2026-08-26,OBEROIRLTY,EQ,1870.0,1880.0,269945,134632,49.87
2026-08-26,OFSS,EQ,11800.0,11729.0,291135,99687,34.24
2026-08-26,ONGC,EQ,232.21,234.0,6500323,3386183,52.09
2026-08-26,PAGEIND,EQ,35155.0,35500.0,22437,11863,52.87
2026-08-26,PERSISTENT,EQ,5590.5,5655.0,186654,58584,31.39
2026-08-26,PETRONET,EQ,289.0,292.5,1547208,780631,50.45
2026-08-26,PFC,EQ,364.1,367.0,4908282,2786297,56.77
2026-08-26,PIDILITIND,EQ,1650.0,1651.1,617323,450342,72.95
2026-08-26,PIIND,EQ,2508.3,2508.0,200712,98658,49.15
2026-08-26,PNB,EQ,116.7,115.93,7741983,2977280,38.46
2026-08-26,POLYCAB,EQ,9060.0,9098.0,239534,111711,46.64
2026-08-26,POWERGRID,EQ,265.2,271.0,5303523,3031633,57.16
2026-08-26,PVRINOX,EQ,1255.3,1231.0,465551,182643,39.23
2026-08-26,RAIN,EQ,195.78,200.49,4779754,1865016,39.02
2026-08-26,RAMCOCEM,EQ,940.65,909.15,269778,121736,45.12
2026-08-26,RBLBANK,EQ,382.5,384.0,1564195,708123,45.27
2026-08-26,RECLTD,EQ,322.2,326.0,3061499,1772884,57.91
2026-08-26,RELIANCE,EQ,1298.0,1317.0,5744474,3668643,63.86
2026-08-26,SAIL,EQ,194.9,184.59,44553300,15513122,34.82
2026-08-26,SBICARD,EQ,660.1,651.0,2062040,1027137,49.81
2026-08-26,SBILIFE,EQ,1768.2,1755.0,1042686,678209,65.04
2026-08-26,SBIN,EQ,1052.0,1048.0,5858099,3284133,56.06
2026-08-26,SHREECEM,EQ,24865.0,24440.0,50283,21087,41.94
2026-08-26,SHRIRAMFIN,EQ,1117.5,1138.5,3752627,1783044,47.51
2026-08-26,SIEMENS,EQ,4043.0,4090.5,374331,204033,54.51
2026-08-26,SRF,EQ,2583.0,2575.0,223327,130188,58.29
2026-08-26,SUNPHARMA,EQ,1899.5,1922.0,648845,440446,67.88
2026-08-26,SUNTV,EQ,465.15,468.9,180005,111167,61.76
2026-08-26,SYNGENE,EQ,411.15,406.4,567950,242749,42.74
2026-08-26,TATACHEM,EQ,637.65,626.35,416347,151034,36.28
2026-08-26,TATACOMM,EQ,1649.3,1699.9,310370,166440,53.63
2026-08-26,TATACONSUM,EQ,1047.1,1060.5,1069304,661387,61.85
2026-08-26,TATAPOWER,EQ,364.0,370.6,5101404,2832626,55.53
2026-08-26,TATASTEEL,EQ,188.01,186.94,32199274,16723723,51.94
2026-08-26,TCS,EQ,2270.0,2296.2,1660737,906172,54.56
2026-08-26,TECHM,EQ,1571.0,1599.9,1639820,1059783,64.63
2026-08-26,TITAN,EQ,5100.0,5124.8,377617,214271,56.74
2026-08-26,TORNTPHARM,EQ,4890.0,4932.0,277585,180280,64.95
2026-08-26,TRENT,EQ,2908.2,2930.0,467317,256474,54.88
2026-08-26,TVSMOTOR,EQ,4464.0,4420.0,908142,588911,64.85
2026-08-26,UBL,EQ,1353.7,1348.6,334327,124599,37.27
2026-08-26,ULTRACEMCO,EQ,11717.0,11540.0,207929,125678,60.44
2026-08-26,UPL,EQ,589.3,585.0,2061911,1035085,50.2
2026-08-26,VEDL,EQ,286.5,275.0,24161109,12754810,52.79
2026-08-26,VOLTAS,EQ,1217.0,1243.0,1046584,467425,44.66
2026-08-26,WHIRLPOOL,EQ,771.7,767.3,162307,83808,51.64
2026-08-26,WIPRO,EQ,177.35,180.09,9355776,4963438,53.05
2026-08-26,ZEEL,EQ,104.42,104.82,13145288,3724768,28.34
2026-08-26,ZYDUSLIFE,EQ,1150.0,1124.5,1401027,733873,52.38
2026-08-27,AARTIIND,EQ,538.9,542.95,531274,246617,46.42
2026-08-27,ABB,EQ,7490.0,7609.0,189460,97181,51.29
2026-08-27,ABBOTINDIA,EQ,26350.0,26555.0,4712,2651,56.26
2026-08-27,ABCAPITAL,EQ,410.0,410.0,1578229,821122,52.03
2026-08-27,ABFRL,EQ,53.64,54.52,3324887,1840398,55.35
2026-08-27,ACC,EQ,1310.6,1331.7,67738,33844,49.96
2026-08-27,ADANIENT,EQ,3169.0,3112.0,1793570,1015758,56.63
2026-08-27,ADANIPORTS,EQ,1714.0,1691.5,2044450,1199141,58.65
2026-08-27,ALKEM,EQ,5320.0,5303.5,166838,123018,73.74
2026-08-27,AMBUJACEM,EQ,411.05,419.2,1071242,456892,42.65
2026-08-27,APOLLOHOSP,EQ,8800.0,8766.5,270047,165637,61.34
2026-08-27,APOLLOTYRE,EQ,443.25,443.05,538426,223812,41.57
2026-08-27,ASHOKLEY,EQ,177.4,179.05,14150948,6467491,45.7
2026-08-27,ASIANPAINT,EQ,2631.0,2626.5,525106,287207,54.7
