Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-14,HDFC,2818.05,-1.1141132711067443,1238079,,,0,55.31
2021-09-14,HDFCAMC,3268.9,-1.0039218061507271,104178,,,0,34.92
2021-09-14,HDFCBANK,1548.55,-0.450001607148597,3748148,,,0,76.82
2021-09-14,HDFCLIFE,739.2,0.5851136209008121,1161336,,,0,58.81
2021-09-14,HEROMOTOCO,2851.7,2.2187970463832403,358095,,,0,40.67
2021-09-14,HINDALCO,477.95,-0.08362077976377842,8939862,,,0,58.61
2021-09-14,HINDCOPPER,126.0,1.1235955056179823,1826016,,,0,31.63
2021-09-14,HINDPETRO,274.15,1.2931830777757254,1502777,,,0,46.79
2021-09-14,HINDUNILVR,2762.55,-0.8541640497424849,1252787,,,0,71.38
2021-09-14,IBULHSGFIN,239.3,4.520637693819621,3735387,,,0,33.01
2021-09-14,ICICIBANK,707.45,0.007068136839138849,2897308,,,0,55.27
2021-09-14,ICICIGI,1614.7,-1.3532089073525286,701558,,,0,61.09
2021-09-14,ICICIPRULI,689.9,-0.5047591577732911,220076,,,0,34.88
2021-09-14,IDEA,8.7,9.433962264150932,225885043,,,0,29.08
2021-09-14,IDFC,54.85,-3.0918727915194344,13385763,,,0,53.69
2021-09-14,IDFCFIRSTB,47.95,2.3479188900747094,7472764,,,0,31.67
2021-09-14,IEX,586.3,-1.0881484605651701,1184195,,,0,25.82
2021-09-14,IGL,587.0,-0.7523881984952312,1069535,,,0,27.62
2021-09-14,INDHOTEL,153.9,-0.12978585334197834,1061968,,,0,37.49
2021-09-14,INDIACEM,181.35,1.511335012594452,431237,,,0,34.19
2021-09-14,INDIAMART,8776.5,0.8109443021399323,19950,,,0,12.67
2021-09-14,INDIGO,1943.0,2.387100173894712,254740,,,0,39.82
2021-09-14,INDUSINDBK,1036.6,4.044966375589677,4155548,,,0,53.02
2021-09-14,INDUSTOWER,246.25,3.0981787732886774,1365134,,,0,22.71
2021-09-14,INFY,1686.15,-0.33985460133577633,3829313,,,0,77.44
2021-09-14,INTELLECT,643.2,-0.07767593599502874,125134,,,0,72.61
2021-09-14,IOC,115.25,1.0964912280701753,4112639,,,0,44.53
2021-09-14,IPCALAB,2637.5,1.592743100360145,63077,,,0,27.57
2021-09-14,IRCTC,3738.45,8.810303427199297,1409524,,,0,11.92
2021-09-14,ITC,216.1,0.9105766985757593,9221721,,,0,47.0
2021-09-14,JINDALSTEL,401.1,-0.5947955390334516,1653685,,,0,28.51
2021-09-14,JKCEMENT,3391.9,-2.3337508458227076,28016,,,0,54.7
2021-09-14,JSWSTEEL,693.65,-0.10800691244239632,888958,,,0,27.9
2021-09-14,JUBLFOOD,4116.0,-0.46430644225188183,162933,,,0,43.91
2021-09-14,KOTAKBANK,1867.75,1.5053938751664382,2619984,,,0,62.86
2021-09-14,L&TFH,86.15,1.115023474178407,1655488,,,0,37.4
2021-09-14,LALPATHLAB,4141.7,-0.6893740483640854,35419,,,0,37.73
2021-09-14,LAURUSLABS,651.15,0.8440452222394195,1137785,,,0,36.42
2021-09-14,LICHSGFIN,419.6,0.01191753068764423,925857,,,0,46.96
2021-09-14,LT,1696.45,1.4805288030148949,756723,,,0,53.77
2021-09-14,LTTS,4544.0,3.904418910421312,130924,,,0,20.2
2021-09-14,LUPIN,982.65,-0.1473427497205615,354330,,,0,53.68
2021-09-14,M&M,750.2,0.623700623700636,2018292,,,0,65.33
2021-09-14,M&MFIN,168.95,0.23731830317411878,1609965,,,0,46.05
2021-09-14,MANAPPURAM,166.2,0.5444646098003492,797244,,,0,37.64
2021-09-14,MARICO,558.3,-3.0055594162613044,3286299,,,0,54.83
2021-09-14,MARUTI,6894.45,0.3018752636862243,439314,,,0,53.75
2021-09-14,MCDOWELL-N,758.9,0.5698383249403597,728699,,,0,36.02
2021-09-14,MCX,1613.5,-0.969741606825014,203854,,,0,40.73
2021-09-14,METROPOLIS,3077.45,0.14806859969409117,35144,,,0,29.39
2021-09-14,MFSL,1093.7,-0.10959905014156959,221864,,,0,35.32
2021-09-14,MGL,1189.05,0.6262429653450567,94444,,,0,45.58
2021-09-14,MPHASIS,3055.45,1.8415438970735287,194118,,,0,34.68
2021-09-14,MRF,80423.85,0.22462850619862518,3874,,,0,38.9
2021-09-14,MUTHOOTFIN,1542.4,-0.1391991194846307,123411,,,0,42.66
2021-09-14,NATIONALUM,98.15,-2.580645161290317,6838561,,,0,35.77
2021-09-14,NAUKRI,6722.5,1.7889724196930756,273890,,,0,21.51
2021-09-14,NAVINFLUOR,4008.1,-0.29229946391034495,42075,,,0,42.14
2021-09-14,NESTLEIND,20230.45,-1.0844772580033946,28226,,,0,47.69
2021-09-14,NMDC,151.9,0.23094688221708629,3371919,,,0,42.91
2021-09-14,NTPC,115.9,0.7826086956521788,4268793,,,0,57.93
2021-09-14,OBEROIRLTY,770.6,1.555086979441232,226709,,,0,34.37
2021-09-14,OFSS,4832.9,-0.47672491016362156,51016,,,0,44.6
2021-09-14,ONGC,123.95,0.7314099959366158,7740559,,,0,46.65
2021-09-14,PAGEIND,32590.45,1.5983041204573285,7650,,,0,48.79
2021-09-14,PEL,2648.7,3.0382011981638493,325862,,,0,27.22
2021-09-14,PERSISTENT,3587.6,-0.0027873010563845657,110372,,,0,64.06
2021-09-14,PETRONET,231.05,0.43468811128015644,1002581,,,0,59.16
2021-09-14,PFC,138.25,-0.3244412400865095,3648032,,,0,44.06
2021-09-14,PIDILITIND,2408.85,0.4943679599499336,170974,,,0,45.97
2021-09-14,PIIND,3497.6,1.445870495250523,146912,,,0,30.46
2021-09-14,PNB,37.8,0.5319148936170099,6162088,,,0,19.45
2021-09-14,POLYCAB,2462.95,0.8434499559850107,105365,,,0,21.27
2021-09-14,POWERGRID,174.1,0.11500862564691697,4001797,,,0,63.26
2021-09-14,RAIN,242.65,-0.3695339765961838,620988,,,0,33.68
2021-09-14,RAMCOCEM,1047.8,-0.7859104251491293,147726,,,0,65.38
2021-09-14,RBLBANK,175.35,1.7997097242380227,1670216,,,0,34.8
2021-09-14,RECLTD,157.45,-0.3796267004112766,1324444,,,0,44.28
2021-09-14,RELIANCE,2368.45,-0.13071619826697153,2491875,,,0,60.61
2021-09-14,SAIL,120.65,0.3326403326403374,5321158,,,0,23.28
2021-09-14,SBICARD,1061.3,-2.269901929186435,695456,,,0,61.62
2021-09-14,SBILIFE,1170.9,0.49349869115564515,816887,,,0,61.02
2021-09-14,SBIN,433.0,0.034654037195328,4167481,,,0,41.75
2021-09-14,SHREECEM,30658.5,-0.01581692802645029,12911,,,0,39.11
2021-09-14,SIEMENS,2207.3,-0.05659822055194585,50902,,,0,40.55
2021-09-14,SRF,10676.4,-0.08516213560432702,113725,,,0,43.99
2021-09-14,SUNPHARMA,781.4,0.14097142124824077,692798,,,0,34.69
2021-09-14,SUNTV,512.15,4.8091681162386175,1231618,,,0,22.63
2021-09-14,SYNGENE,667.1,-0.25418660287080325,561448,,,0,34.97
2021-09-14,TATACHEM,835.75,-0.18511883434849571,252724,,,0,30.83
2021-09-14,TATACOMM,1359.9,0.9726759726759829,145220,,,0,59.04
2021-09-14,TATACONSUM,881.3,-0.09069266523070721,275536,,,0,44.27
2021-09-14,TATAMOTORS,306.1,1.626826029216479,6975975,,,0,30.02
2021-09-14,TATAPOWER,133.0,1.4879816863792357,5027123,,,0,37.78
2021-09-14,TATASTEEL,1452.3,-0.7618982541255315,1378792,,,0,25.05
2021-09-14,TCS,3885.9,1.0545203947625101,1273237,,,0,63.94
