Date,Symbol,Series,Close,Prev_Close,Traded_Qty,Delivery_Qty,Delivery_Percent
2023-01-12,TRENT,EQ,1209.5,1210.7,566434,246423,43.5
2023-01-12,TVSMOTOR,EQ,1005.55,1014.65,834703,389848,46.7
2023-01-12,UBL,EQ,1644.15,1674.2,138474,47080,34.0
2023-01-12,ULTRACEMCO,EQ,7153.35,7021.95,566492,298734,52.73
2023-01-12,UPL,EQ,717.8,717.8,1272850,628191,49.35
2023-01-12,VEDL,EQ,316.6,318.15,4051242,1139568,28.13
2023-01-12,VOLTAS,EQ,809.25,830.95,954974,444530,46.55
2023-01-12,WHIRLPOOL,EQ,1480.7,1482.65,48762,25082,51.44
2023-01-12,WIPRO,EQ,394.5,393.85,4755250,1958240,41.18
2023-01-12,ZEEL,EQ,227.35,228.75,6422397,2299549,35.81
2023-01-12,ZYDUSLIFE,EQ,448.15,452.35,1554796,584503,37.59
2023-01-13,AARTIIND,EQ,581.55,592.4,563117,250382,44.46
2023-01-13,ABB,EQ,2899.95,2914.15,103382,45663,44.17
2023-01-13,ABBOTINDIA,EQ,22282.2,22162.55,7274,3109,42.74
2023-01-13,ABCAPITAL,EQ,148.95,146.3,1870103,516898,27.64
2023-01-13,ABFRL,EQ,268.6,266.05,1961178,886870,45.22
2023-01-13,ACC,EQ,2367.2,2364.4,331339,160021,48.3
2023-01-13,ADANIENT,EQ,3721.15,3647.2,1364712,217941,15.97
2023-01-13,ADANIPORTS,EQ,794.65,792.95,4059998,989601,24.37
2023-01-13,ALKEM,EQ,3025.25,3061.3,65561,38261,58.36
2023-01-13,AMBUJACEM,EQ,518.65,510.4,4195766,1517106,36.16
2023-01-13,APOLLOHOSP,EQ,4335.55,4359.75,366497,145604,39.73
2023-01-13,APOLLOTYRE,EQ,320.8,317.0,2637954,811494,30.76
2023-01-13,ASHOKLEY,EQ,147.05,146.8,11334303,6101337,53.83
2023-01-13,ASIANPAINT,EQ,2909.15,2915.95,1507864,987008,65.46
2023-01-13,ASTRAL,EQ,2047.5,2063.75,312474,146926,47.02
2023-01-13,ATUL,EQ,7698.9,7675.25,50464,33634,66.65
2023-01-13,AUBANK,EQ,619.75,628.15,1393324,831894,59.71
